dt,value
2103-11-25T01:15:16.826Z,
2103-11-25T01:16:16.834Z,
2103-11-25T01:17:16.842Z,
2103-11-25T01:18:16.85Z,
2103-11-25T01:19:16.858Z,
2103-11-25T01:20:16.866Z,
2103-11-25T01:21:16.874Z,
2103-11-25T01:22:16.882Z,
2103-11-25T01:23:16.89Z,
2103-11-25T01:24:16.898Z,
2103-11-25T01:25:16.906Z,
2103-11-25T01:26:16.914Z,
2103-11-25T01:27:16.922Z,
2103-11-25T01:28:16.93Z,
2103-11-25T01:29:16.938Z,
2103-11-25T01:30:16.946Z,
2103-11-25T01:31:16.954Z,
2103-11-25T01:32:16.962Z,
2103-11-25T01:33:16.97Z,
2103-11-25T01:34:16.978Z,
2103-11-25T01:35:16.986Z,
2103-11-25T01:36:16.994Z,
2103-11-25T01:37:17.002Z,
2103-11-25T01:38:17.01Z,
2103-11-25T01:39:17.018Z,
2103-11-25T01:40:17.026Z,
2103-11-25T01:41:17.034Z,
2103-11-25T01:42:17.042Z,
2103-11-25T01:43:17.05Z,
2103-11-25T01:44:17.058Z,
2103-11-25T01:45:17.066Z,
2103-11-25T01:46:17.074Z,
2103-11-25T01:47:17.082Z,
2103-11-25T01:48:17.09Z,
2103-11-25T01:49:17.098Z,
2103-11-25T01:50:17.106Z,
2103-11-25T01:51:17.114Z,
2103-11-25T01:52:17.122Z,
2103-11-25T01:53:17.13Z,
2103-11-25T01:54:17.138Z,
2103-11-25T01:55:17.146Z,
2103-11-25T01:56:17.154Z,
2103-11-25T01:57:17.162Z,
2103-11-25T01:58:17.17Z,
2103-11-25T01:59:17.178Z,
2103-11-25T02:00:17.186Z,
2103-11-25T02:01:17.194Z,
2103-11-25T02:02:17.202Z,
2103-11-25T02:03:17.21Z,
2103-11-25T02:04:17.218Z,
2103-11-25T02:05:17.226Z,
2103-11-25T02:06:17.234Z,
2103-11-25T02:07:17.242Z,
2103-11-25T02:08:17.25Z,
2103-11-25T02:09:17.258Z,
2103-11-25T02:10:17.266Z,
2103-11-25T02:11:17.274Z,
2103-11-25T02:12:17.282Z,
2103-11-25T02:13:17.29Z,
2103-11-25T02:14:17.298Z,
2103-11-25T02:15:17.306Z,
2103-11-25T02:16:17.314Z,
2103-11-25T02:17:17.322Z,
2103-11-25T02:18:17.33Z,
2103-11-25T02:19:17.338Z,
2103-11-25T02:20:17.346Z,
2103-11-25T02:21:17.354Z,
2103-11-25T02:22:17.362Z,
2103-11-25T02:23:17.37Z,
2103-11-25T02:24:17.378Z,
2103-11-25T02:25:17.386Z,
2103-11-25T02:26:17.394Z,
2103-11-25T02:27:17.402Z,
2103-11-25T02:28:17.41Z,
2103-11-25T02:29:17.418Z,
2103-11-25T02:30:17.426Z,
2103-11-25T02:31:17.434Z,
2103-11-25T02:32:17.442Z,
2103-11-25T02:33:17.45Z,
2103-11-25T02:34:17.458Z,
2103-11-25T02:35:17.466Z,
2103-11-25T02:36:17.474Z,
2103-11-25T02:37:17.482Z,
2103-11-25T02:38:17.49Z,
2103-11-25T02:39:17.498Z,
2103-11-25T02:40:17.506Z,
2103-11-25T02:41:17.514Z,
2103-11-25T02:42:17.522Z,
2103-11-25T02:43:17.53Z,
2103-11-25T02:44:17.538Z,
2103-11-25T02:45:17.546Z,
2103-11-25T02:46:17.554Z,
2103-11-25T02:47:17.562Z,
2103-11-25T02:48:17.57Z,
2103-11-25T02:49:17.578Z,
2103-11-25T02:50:17.586Z,
2103-11-25T02:51:17.594Z,
2103-11-25T02:52:17.602Z,
